id,categorie,subject,urgence,synthese
1,Demande de support utilisateur,clef api,Faible,"Email concernant la clé API, pas d'urgence, peut être traité à un moment donné."
2,Problème technique informatique,Incident de sécurité : fuite de données sensibles détectée,Critique,Email concernant une fuite de données sensibles dans la base de données des clients. L'accès non autorisé a été bloqué et une enquête lancée. Il est demandé d'appliquer un patch de sécurité et d'informer les parties concernées en priorité absolue.
3,Problème technique informatique,Arrêt du serveur de production – impact sur le portail client,Critique,Email concernant un arrêt du serveur de production avec impact sur le portail client. L'équipe de développement a signalé un crash du processus de base de données. Il est nécessaire d'intervenir immédiatement pour restaurer le service.
4,Demande administrative,Demande de licence Office 365 pour le nouveau collaborateur,Élevée,Demande d'attribution d'une licence Office 365 Pro Plus pour le nouveau collaborateur Pierre Martin commençant son contrat le 1er décembre. L'attribution de la licence doit être faite le plus rapidement possible pour permettre à Pierre de commencer à travailler sans délai.
5,Problème technique informatique,Problème de mise en page sur la page d’accueil du site intranet,Modérée,"Problème de mise en page du menu déroulant 'Services' sur la page d'accueil du site intranet (http://intranet.entreprise.com) pour les écrans de 1920x1080. Les sous-menus apparaissent en dehors de l'écran et sont coupés. Cela ne bloque pas l'accès aux pages, mais gêne l'expérience utilisateur. Il est nécessaire de vérifier le CSS."
6,Demande administrative,Mise à jour des coordonnées de contact,Faible,"Demande de mise à jour des coordonnées de contact de Jean Dupont (ancienmail.com -> nouvellemail.com, +33 1 23 45 67 89 -> +33 6 12 34 56 78)"
7,Problème technique informatique,Perte de données critiques suite à un crash du serveur de fichiers,Critique,Problème critique de perte de données critiques suite à un crash du serveur de fichiers. Nécessite une restauration immédiate et une analyse des causes pour éviter une répétition.
8,Problème technique informatique,Panne réseau dans l’étage 3,Critique,"Problème technique informatique critique : panne réseau dans l'étage 3, impactant la productivité de plusieurs équipes. Dépêchez-vous un technicien sur place dès que possible."
9,Bug ou dysfonctionnement d'un service,Erreur 500 sur le portail RH lors de la saisie des heures,Élevée,"Le sujet concerne un problème technique informatique sur le portail RH, avec une erreur 500 lors de la soumission des heures de travail. L'utilisateur a essayé plusieurs navigateurs et le problème persiste, ce qui indique une urgence élevée."
10,Problème d’accès / authentification,Mot de passe VPN oublié,Élevée,"Le client a oublié son mot de passe VPN et ne peut plus se connecter. Il a essayé de le réinitialiser via le portail, mais n'a pas reçu de notification. Il est nécessaire de rétablir l'accès pour le client."
11,Demande administrative,Demande de mise à disposition d'une imprimante supplémentaire,Modérée,Demande de mise à disposition d'une imprimante supplémentaire dans le bureau 12 pour réduire les temps d'attente pour les impressions. Demande de confirmation de disponibilité et délai de mise en place.
12,Problème technique informatique,Panne réseau critique dans le datacenter,Critique,"Problème critique de réseau dans le datacenter, nécessitant immédiatement le support réseau."
13,Problème technique informatique,Impression impossible sur le serveur d'impression,Élevée,Problème d'impression sur le serveur d'impression du bureau de Paris. L'erreur de connexion persiste malgré le redémarrage du serveur. Il y a besoin d'une intervention rapide.
14,Bug ou dysfonctionnement d'un service,Erreur 500 sur l'application de facturation,Élevée,L'erreur 500 sur l'application de facturation bloque le processus de facturation. Il est nécessaire de vérifier le log serveur.
15,Problème d’accès / authentification,Problème d'accès au portail intranet,Élevée,Problème d'accès au portail intranet avec message d'erreur 'identifiant ou mot de passe invalide'. L'utilisateur a essayé de réinitialiser son mot de passe sans succès.
16,Demande administrative,Demande de congés supplémentaires pour le mois de juillet,Faible,Demande de congés supplémentaires pour le mois de juillet
17,Problème technique informatique,Attaque de sécurité en cours,Critique,"Email concernant une attaque de sécurité en cours sur le système, nécessitant une intervention immédiate pour contenir l'attaque et protéger les systèmes."
18,Problème technique informatique,Problème technique avec le serveur de données,Critique,"Problème critique avec le serveur de données, il est actuellement hors service et empêche l'accès aux données. Cela a un impact direct sur la capacité à traiter les commandes et à fournir des services aux clients. Il est essentiel de résoudre ce problème le plus rapidement possible."
19,Bug ou dysfonctionnement d'un service,Bug sur le logiciel de gestion de projet,Élevée,"Le message traite d'un bug sur le logiciel de gestion de projet, ce qui a un impact sur le travail de l'utilisateur. Il est donc nécessaire d'enquêter sur ce problème avec une urgence élevée."
20,Problème d’accès / authentification,Problème de connexion à l'intranet,Élevée,"Le client a des difficultés à se connecter à l'intranet de l'entreprise. Il a vérifié ses identifiants et est certain qu'ils sont corrects, mais reçoit toujours un message d'erreur. Il est nécessaire de résoudre ce problème pour que le client puisse accéder à l'intranet."
21,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles. Pas d'urgence.
22,Problème technique informatique,Panne serveur de messagerie et intranet,Critique,"Problème critique de panne serveur de messagerie et intranet, nécessitant une intervention immédiate du support technique."
23,Bug ou dysfonctionnement d’un service,Doublons clients dans le CRM,Élevée,"Email de Sophie Martin concernant un bug dans le module de saisie des ventes du CRM générant des doublons d'ID clients, impactant les rapports mensuels. Il est nécessaire de lancer une investigation et de corriger le bug dès que possible."
24,Problème d’accès / authentification,"Accès refusé au dossier partagé ""Projets 2025""",Modérée,Thomas Lemaire a un problème d'accès au dossier partagé 'Projets 2025'. Il a reçu un message d'accès refusé et a essayé de se reconnecter et de redémarrer son poste sans succès. Il demande de vérifier ses permissions ou de réinitialiser son mot de passe.
25,Bug ou dysfonctionnement d’un service,Impression couleur indisponible sur la photocopieuse X200,Modérée,La photocopieuse modèle X200 dans le bureau 3 ne fonctionne plus en couleur. Le technicien devrait être contacté pour dépanner l'appareil ou fournir une solution de contournement.
26,Demande de support utilisateur,Modification de signature Outlook,Faible,Demande de modification de signature Outlook pour inclure le nouveau poste de l'utilisateur (Directeur Marketing). Pas d'urgence.
27,Problème technique informatique,ERP interne hors service – impact sur les ventes,Critique,"Problème technique majeur sur le système ERP (SAP) depuis 08h30, empêchant les équipes commerciales de traiter les commandes et mettre à jour les factures. Les clients commencent à nous contacter pour des explications. Une intervention immédiate de l'équipe technique est requise pour restaurer le service dès que possible."
28,Problème technique informatique,Problème de synchronisation du calendrier Outlook,Élevée,Email de Sophie Bernard concernant un problème de synchronisation de son calendrier Outlook sur son poste de travail. Le problème est élevé en urgence car il perturbe la planification de ses réunions.
29,Problème d’accès / authentification,Impossible d’accéder au VPN depuis mon domicile,Élevée,L'utilisateur Alexandre Martin est en difficulté pour se connecter au VPN depuis son domicile. Le problème persiste malgré une vérification de la connexion Internet et un redémarrage du routeur. Le message d'erreur indique une échec d'authentification. Il est nécessaire de résoudre ce problème pour permettre à l'utilisateur d'accéder aux ressources internes.
30,Demande administrative,Demande de congé pour la semaine du 12 juillet,Faible,Demande de congé de Marie Leclerc du 12 au 14 juillet inclus pour un voyage familial. Elle s'assure que ses dossiers soient à jour avant son départ. Confirmation attendue.
31,Problème technique informatique,Écran de mon ordinateur portable clignote,Modérée,Monsieur Dupont a signalé un problème de clignotement intermittent de l'écran sur son ordinateur portable HP EliteBook 840 G5. Il demande une procédure pour demander une réparation ou un remplacement de l'écran. L'urgence est modérée car le problème ne bloque pas son travail.
32,Problème technique informatique,Panne du serveur de base de données principale,Critique,Email concernant une panne du serveur de base de données principale qui bloque la production et les rapports mensuels. Il est impératif de restaurer le service dès que possible.
33,Bug ou dysfonctionnement d'un service,Impression de rapports PDF impossible depuis le tableau de bord,Élevée,Problème technique informatique : Impression de rapports PDF impossible depuis le tableau de bord. L'utilisateur Sophie Bernard a signalé l'erreur 'Imprimante hors ligne' et a indiqué que les rapports sont nécessaires pour la réunion de demain. Cela nécessite une intervention rapide.
34,Bug ou dysfonctionnement d'un service,Erreur 500 sur le portail de facturation,Élevée,Le portail de facturation renvoie une erreur 500 depuis hier. L'utilisateur a vérifié que son navigateur est à jour et qu'il n'a pas de bloqueur de scripts actif. Il demande à savoir si le problème est connu et quand il sera résolu.
35,Problème d’accès / authentification,Problème de connexion à l’application interne,Modérée,L'utilisateur Marie Leclerc rencontre des difficultés pour se connecter à l'application interne depuis son poste de travail. Le message d'erreur indique 'Identifiant ou mot de passe incorrect'. Il a déjà essayé de réinitialiser son mot de passe via le portail sans succès.
36,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires associées à un compte fournisseur. Procédure à confirmer.
37,Problème technique informatique,Panne du serveur principal,Critique,Le serveur principal de l'entreprise est en panne et affecte toutes les opérations en ligne. Il est nécessaire d'intervenir immédiatement pour diagnostiquer et résoudre le problème.
38,Problème d’accès / authentification,Problème d'accès aux données confidentielles,Critique,Problème critique de sécurité : accès non autorisé aux données confidentielles. Il est nécessaire de prendre des mesures immédiates pour révoquer les accès non autorisés et enquêter sur la cause de ce problème.
39,Demande de support utilisateur,Demande de support pour un logiciel,Élevée,"Demande d'aide pour résoudre un problème d'interface utilisateur dans un logiciel de gestion de projet, urgence élevée car l'utilisateur ne peut pas accéder à certaines fonctionnalités."
40,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client rencontre des difficultés pour se connecter au réseau Wi-Fi de l'entreprise. Il a déjà vérifié que son mot de passe est correct, mais il ne parvient pas à établir de connexion. Il demande de l'aide pour résoudre ce problème."
41,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations en développement web. Le demandeur souhaite recevoir un catalogue des formations disponibles ainsi que les dates de début pour chaque session.
42,Problème technique informatique,Panne du système de gestion des commandes,Critique,"Problème critique avec le système de gestion des commandes, nécessitant une intervention immédiate pour rétablir le fonctionnement."
43,Problème technique informatique,Problème de sécurité sur le serveur principal,Critique,Ce message traite d'un problème technique informatique critique de sécurité sur le serveur principal qui nécessite une intervention rapide pour résoudre le problème et assurer la sécurité des données.
44,Bug ou dysfonctionnement d'un service,Bug sur le logiciel de gestion de projet,Élevée,"Le message traite d'un bug sur le logiciel de gestion de projet, qui a un impact sur le travail de l'utilisateur et nécessite une intervention rapide."
45,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a déjà essayé de réinitialiser son mot de passe et de vérifier les paramètres de son appareil, mais le problème persiste. Il demande de l'aide pour résoudre ce problème."
